iter	MultiClass
0	0.9727976678
1	0.8726740759
2	0.7903089649
3	0.72122875
4	0.661888731
5	0.6104827622
6	0.5659389626
7	0.5264062614
8	0.4915904792
9	0.4602018742
10	0.4323266099
11	0.4074477069
12	0.3854425003
13	0.3650278114
14	0.346806309
15	0.3302456893
16	0.3150973069
17	0.301575166
18	0.2890661107
19	0.2776192951
20	0.2672517352
21	0.2578250523
22	0.248649315
23	0.2404012275
24	0.232834039
25	0.2259526209
26	0.2194983144
27	0.2133943947
28	0.2080029875
29	0.2029081955
30	0.1985750868
31	0.1942496065
32	0.1903803143
33	0.186866906
34	0.1834958007
35	0.1800523515
36	0.1769434232
37	0.1743374348
38	0.1716306014
39	0.1694241369
40	0.1671509442
41	0.1651511428
42	0.1628383698
43	0.1608755608
44	0.1590140367
45	0.1571577899
46	0.1556504753
47	0.1541023625
48	0.1524949809
49	0.1508943144
50	0.1497219943
51	0.1487455796
52	0.1472360999
53	0.1460493686
54	0.144940749
55	0.1437656718
56	0.1427149173
57	0.1419191848
58	0.141029686
59	0.1403914881
60	0.1396012782
61	0.1388164557
62	0.1381842963
63	0.1373009798
64	0.1366276417
65	0.135594157
66	0.1349318387
67	0.1344486212
68	0.1337411916
69	0.1330340327
70	0.1324950476
71	0.1318147829
72	0.1314614191
73	0.1308584713
74	0.1305025449
75	0.1300155892
76	0.1293858232
77	0.128986773
78	0.1284659711
79	0.1281514095
80	0.1276711435
81	0.1274064632
82	0.1269397121
83	0.1264763777
84	0.1260504078
85	0.1255938478
86	0.1252599781
87	0.1249805143
88	0.1247354127
89	0.1243290384
90	0.124003144
91	0.1237055393
92	0.123453824
93	0.1231235149
94	0.1228715882
95	0.122605081
96	0.1222188352
97	0.1219269053
98	0.1216835036
99	0.1214292596
100	0.1210587866
101	0.120800813
102	0.1205644562
103	0.1202310347
104	0.1199137414
105	0.1196186147
106	0.1194034689
107	0.1192157925
108	0.1190498514
109	0.11889208
110	0.1187237709
111	0.118544315
112	0.1183843617
113	0.1181941649
114	0.1180397681
115	0.1177653449
116	0.117651374
117	0.1173782871
118	0.1172265459
119	0.1170462358
120	0.1168662809
121	0.1166279366
122	0.11650084
123	0.1162548588
124	0.1160290145
125	0.1158910418
126	0.115701158
127	0.1156031884
128	0.1154314032
129	0.1153058458
130	0.1151273541
131	0.1150108883
132	0.1148446766
133	0.1147454806
134	0.1146099013
135	0.1144710828
136	0.1142910687
