iter	Passed	Remaining
0	20	40485
1	41	41021
2	59	39694
3	79	39516
4	97	38827
5	117	39165
6	135	38714
7	155	38651
8	174	38550
9	190	37925
10	208	37715
11	225	37402
12	246	37676
13	266	37836
14	285	37808
15	304	37770
16	324	37872
17	344	37896
18	362	37801
19	383	37977
20	401	37824
21	421	37939
22	443	38100
23	462	38049
24	481	38038
25	503	38227
26	520	38057
27	543	38262
28	560	38087
29	582	38229
30	600	38143
31	623	38332
32	640	38191
33	663	38380
34	682	38298
35	702	38304
36	722	38343
37	739	38182
38	758	38154
39	777	38091
40	796	38078
41	813	37917
42	834	37962
43	852	37917
44	869	37759
45	888	37742
46	905	37642
47	926	37686
48	947	37713
49	967	37725
50	984	37607
51	1001	37517
52	1023	37590
53	1044	37639
54	1064	37645
55	1084	37664
56	1103	37621
57	1121	37543
58	1140	37515
59	1159	37478
60	1178	37449
61	1194	37339
62	1212	37268
63	1232	37294
64	1251	37258
65	1272	37285
66	1291	37257
67	1312	37285
68	1331	37269
69	1352	37276
70	1370	37244
71	1391	37258
72	1409	37202
73	1426	37128
74	1444	37077
75	1463	37041
76	1485	37087
77	1505	37095
78	1524	37074
79	1541	37000
80	1560	36959
81	1580	36962
82	1598	36918
83	1619	36932
84	1637	36899
85	1657	36888
86	1675	36839
87	1694	36819
88	1711	36750
89	1730	36717
90	1748	36679
91	1767	36657
92	1787	36652
93	1805	36613
94	1823	36571
95	1843	36563
96	1863	36555
97	1882	36543
98	1900	36501
99	1921	36516
100	1942	36513
101	1964	36561
102	1986	36590
103	2008	36618
104	2029	36633
105	2052	36681
106	2071	36643
107	2090	36630
108	2112	36640
109	2131	36615
110	2151	36617
111	2168	36562
112	2190	36582
113	2208	36536
114	2228	36532
115	2247	36502
116	2268	36516
117	2287	36486
118	2307	36478
119	2326	36445
120	2344	36408
121	2363	36376
122	2380	36333
123	2400	36312
124	2418	36275
125	2438	36263
126	2458	36255
127	2476	36211
128	2495	36191
129	2512	36145
130	2531	36115
131	2552	36120
132	2574	36133
133	2594	36127
134	2614	36120
135	2634	36104
136	2655	36104
137	2673	36078
138	2695	36086
139	2719	36136
140	2743	36175
141	2764	36176
142	2783	36144
143	2802	36115
144	2822	36107
145	2843	36102
146	2863	36097
147	2885	36111
148	2905	36092
149	2924	36068
150	2942	36030
151	2960	35998
152	2981	35989
153	3000	35965
154	3020	35956
155	3037	35904
156	3056	35881
157	3078	35891
158	3098	35876
159	3117	35846
160	3135	35810
161	3155	35797
162	3173	35769
163	3194	35759
164	3213	35735
165	3234	35735
166	3255	35736
167	3276	35727
168	3297	35722
169	3317	35709
170	3337	35699
171	3358	35699
172	3384	35742
173	3405	35737
174	3424	35711
175	3447	35726
176	3472	35763
177	3493	35759
178	3514	35757
179	3536	35759
180	3557	35754
181	3578	35747
182	3601	35758
183	3623	35757
184	3644	35757
185	3665	35744
186	3687	35749
187	3707	35738
188	3729	35732
189	3748	35706
190	3766	35675
191	3785	35645
192	3806	35639
193	3824	35600
194	3843	35577
195	3866	35589
196	3885	35561
197	3904	35531
198	3923	35510
199	3942	35483
200	3962	35466
201	3981	35438
202	4001	35418
203	4021	35405
204	4041	35390
205	4061	35368
206	4082	35359
207	4101	35334
208	4121	35322
209	4141	35302
210	4163	35300
211	4182	35275
212	4205	35281
213	4230	35302
214	4253	35310
215	4273	35292
216	4293	35276
217	4312	35251
218	4334	35245
219	4354	35232
220	4375	35220
221	4394	35197
222	4413	35169
223	4432	35144
224	4454	35144
225	4474	35123
226	4494	35100
227	4512	35074
228	4533	35058
229	4553	35038
230	4576	35047
231	4597	35033
232	4615	35005
233	4634	34977
234	4655	34963
235	4673	34934
236	4693	34913
237	4711	34880
238	4731	34861
239	4750	34836
240	4769	34809
241	4787	34779
242	4805	34748
243	4826	34736
244	4846	34714
245	4870	34727
246	4889	34704
247	4908	34674
248	4928	34658
249	4947	34632
250	4964	34594
251	4984	34574
252	5004	34556
253	5023	34533
254	5044	34522
255	5066	34513
256	5088	34507
257	5111	34514
258	5130	34487
259	5149	34462
260	5169	34446
261	5188	34416
262	5209	34403
263	5230	34391
264	5251	34384
265	5270	34354
266	5290	34339
267	5309	34315
268	5330	34301
269	5350	34280
270	5370	34262
271	5388	34235
272	5409	34218
273	5429	34199
274	5448	34176
275	5470	34169
276	5489	34148
277	5507	34115
278	5527	34093
279	5544	34058
280	5563	34034
281	5583	34018
282	5605	34007
283	5623	33980
284	5645	33972
285	5664	33950
286	5686	33942
287	5706	33923
288	5729	33919
289	5750	33910
290	5770	33890
291	5793	33885
292	5813	33869
293	5834	33853
294	5852	33825
295	5874	33818
296	5894	33799
297	5915	33784
298	5937	33776
299	5956	33750
300	5976	33735
301	5994	33705
302	6014	33686
303	6035	33670
304	6056	33659
305	6075	33636
306	6096	33619
307	6115	33595
308	6136	33583
309	6156	33563
310	6176	33544
311	6194	33516
312	6214	33494
313	6235	33482
314	6257	33473
315	6278	33460
316	6298	33439
317	6318	33418
318	6338	33402
319	6358	33381
320	6379	33368
321	6400	33352
322	6423	33352
323	6445	33342
324	6464	33318
325	6485	33300
326	6502	33270
327	6523	33255
328	6541	33225
