iter	MultiClass
0	0.9730149359
1	0.8729991173
2	0.7906811469
3	0.7213542911
4	0.662126283
5	0.6110555259
6	0.5662505915
7	0.5266686928
8	0.4921588498
9	0.461223204
10	0.4336705863
11	0.4090400053
12	0.38678319
13	0.366864958
14	0.3488039528
15	0.3320786961
16	0.3169865134
17	0.3033669186
18	0.2907590218
19	0.2794057511
20	0.2689322949
21	0.2589022897
22	0.2499689278
23	0.2419525758
24	0.234514772
25	0.2272300286
26	0.2205665089
27	0.2148272387
28	0.2092519558
29	0.2042890841
30	0.1997962869
31	0.1955029471
32	0.1915695507
33	0.1878058927
34	0.1843689577
35	0.1812977339
36	0.177934682
37	0.1756377426
38	0.1728310975
39	0.1704183774
40	0.1678408579
41	0.1658657024
42	0.163837418
43	0.1619949071
44	0.160289134
45	0.1584386562
46	0.1568410015
47	0.1555752288
48	0.1540692513
49	0.1525805945
50	0.1512728058
51	0.1502872917
52	0.1491456893
53	0.1479585357
54	0.1467897684
55	0.1457301513
56	0.1450372433
57	0.1441579869
58	0.1435448145
59	0.142777516
60	0.1419495447
61	0.141212997
62	0.1404420957
63	0.1396872041
64	0.1392058137
65	0.1384423886
66	0.1379968403
67	0.1374579485
68	0.1370460518
69	0.1364558496
70	0.1361266062
71	0.1354010869
72	0.1349306148
73	0.1345039517
74	0.1340140024
75	0.1336997454
76	0.1331380105
77	0.1328229924
78	0.1322699938
79	0.1317134939
80	0.1314429697
81	0.1311760061
82	0.1307963233
83	0.1303714616
84	0.1300065791
85	0.1297155882
86	0.1293079879
87	0.1288472333
88	0.1284839577
89	0.1282895747
90	0.1279561366
91	0.1276332701
92	0.127155178
93	0.126726781
94	0.1265048272
95	0.1262896731
96	0.1260273187
97	0.1257975588
98	0.1254412182
99	0.1252207021
100	0.1250624996
101	0.1246925004
102	0.1243770594
103	0.1241981957
104	0.1240505563
105	0.123877731
106	0.1237182514
107	0.1235254077
108	0.1232182549
109	0.1229762741
110	0.1227924882
111	0.1225761754
112	0.1224043988
113	0.1221860394
114	0.1219620643
115	0.1218268741
116	0.1215045826
117	0.1213948151
118	0.1211336025
119	0.1209923399
120	0.1208407171
121	0.1206573371
122	0.120499143
123	0.1203527131
124	0.1202283059
125	0.1201031292
126	0.11996289
127	0.1197579185
128	0.1195907596
129	0.1194326247
130	0.1192967833
131	0.1191951432
132	0.1190887333
133	0.1189175572
134	0.1186116391
135	0.1183928822
136	0.1181982624
137	0.1180656686
138	0.1179343942
139	0.1177822217
140	0.1176482916
141	0.1174878901
142	0.1173795688
143	0.1172274555
144	0.1170914196
145	0.1167887238
146	0.1165353764
147	0.1164490357
148	0.1163494085
149	0.1161719824
150	0.1159460875
151	0.1157728478
152	0.1156829466
153	0.1155946776
154	0.1155012073
155	0.115366423
156	0.1153045324
157	0.1152080513
158	0.1150882619
159	0.1149118423
160	0.1147689136
161	0.1146324802
162	0.1144325492
163	0.114356408
164	0.1142575843
165	0.1141646553
166	0.1140879813
167	0.1139693336
168	0.1138544748
169	0.1136976761
170	0.1136389992
171	0.113566131
172	0.1135116828
173	0.1134131297
174	0.1133402023
175	0.1131659815
176	0.1129837771
177	0.1128319006
178	0.1127309456
179	0.1126605723
180	0.1125488681
181	0.1124473803
182	0.1123274386
183	0.1121785983
184	0.112054927
185	0.1119693643
186	0.1118952274
187	0.1117889613
188	0.1116921419
189	0.1115913984
190	0.1114736049
191	0.1113782486
192	0.1112500272
193	0.1111274723
194	0.1110177893
195	0.1109573787
196	0.1109006132
197	0.1108401265
198	0.1107926471
199	0.1107198973
200	0.1106360345
201	0.1105478501
202	0.1104753878
203	0.1104184108
204	0.1103461431
205	0.1102491207
206	0.1101753391
207	0.1100805749
208	0.1100082987
209	0.1099429405
210	0.109902726
211	0.1097789278
212	0.1096288781
213	0.1095625981
214	0.1094968678
215	0.1094209972
216	0.1093613731
217	0.1092943405
218	0.1092413046
219	0.1092003205
220	0.109136713
221	0.1090355212
222	0.1089895726
223	0.1089169158
224	0.1088698593
225	0.1088244689
226	0.1087517698
227	0.1086971101
228	0.1085398125
229	0.1084902357
230	0.1084000638
231	0.1082953622
232	0.1082453203
233	0.10817811
234	0.1081319669
235	0.1080604011
236	0.1079917361
237	0.1079042706
238	0.1077807599
239	0.1076554817
240	0.1075911215
241	0.1074839842
242	0.1074149133
243	0.1073835959
244	0.1073400238
245	0.1072956905
246	0.1071976533
247	0.1071002758
248	0.1070587334
249	0.1069994899
250	0.1069525856
251	0.1068796667
252	0.1067734259
253	0.1067084737
254	0.1066665507
255	0.1065958307
256	0.1065502288
257	0.1064599977
258	0.1063701472
259	0.1062726428
260	0.1062077413
261	0.1061151253
262	0.1060438639
263	0.1060114555
264	0.1059256645
265	0.1058636977
266	0.1058250478
267	0.1057626835
268	0.1057123878
269	0.1056743637
270	0.1056310707
271	0.1055747619
272	0.1055241787
273	0.1054522662
274	0.1053911621
275	0.1053486048
276	0.1052667549
277	0.1052323252
278	0.1051661805
279	0.1051341611
280	0.1050779284
281	0.1050273114
282	0.1049763391
283	0.104934357
284	0.1048412673
285	0.1047472389
286	0.1046870566
287	0.1046093001
288	0.1045610511
289	0.1045134787
290	0.104471801
291	0.104419594
292	0.1043759881
293	0.1043216583
294	0.1042686563
295	0.1042126857
296	0.1041482748
297	0.1040416873
298	0.1039814627
299	0.1039316407
300	0.1038947414
301	0.1038520235
302	0.1038239621
303	0.1038025905
304	0.1037766603
305	0.1037210873
306	0.1036890764
307	0.1036524646
308	0.1035962742
309	0.1035369123
310	0.1035028293
311	0.1034800453
312	0.1034165224
313	0.1033634866
314	0.1033253864
315	0.1032696019
316	0.1032136991
317	0.1031794046
318	0.1031422601
319	0.1030828982
320	0.1030600043
321	0.1030100215
322	0.1029602333
323	0.1029357494
324	0.1028921096
325	0.1028364689
326	0.1028043819
327	0.1027827819
328	0.1027383725
329	0.1027040273
330	0.1025833414
331	0.1025199792
332	0.1024729819
333	0.1024419436
334	0.1023958681
335	0.1023089692
336	0.1022525251
337	0.1022187888
338	0.1021580061
339	0.1020589709
340	0.1020180798
341	0.1019797681
