iter	Passed	Remaining
0	344	687701
1	697	696916
2	1035	689597
3	1392	694892
4	1740	694466
5	2146	713275
6	2491	709410
7	2841	707520
8	3190	705713
9	3524	701318
10	3867	699308
11	4213	697975
12	4545	694773
13	4865	690244
14	5212	689773
15	5550	688206
16	5908	689211
17	6256	688868
18	6638	692183
19	7042	697224
20	7380	695516
21	7755	697305
22	8086	695094
23	8417	693043
24	8782	693845
25	9117	692245
26	9459	691278
27	9793	689737
28	10126	688262
29	10481	688263
30	10843	688741
31	11184	687839
32	11537	687730
33	11879	686923
34	12237	687049
35	12611	688031
36	12975	688389
37	13335	688521
38	13693	688555
39	14041	688040
40	14445	690197
41	14780	689061
42	15123	688290
43	15479	688135
44	15824	687478
45	16161	686532
46	16506	685880
47	16838	684755
48	17178	683983
49	17559	684820
50	17902	684148
51	18255	683890
52	18611	683699
53	18964	683409
54	19300	682547
55	19653	682254
56	20001	681788
57	20372	682141
58	20712	681401
59	21050	680643
60	21394	680065
61	21783	680896
62	22135	680581
63	22469	679705
64	22846	680117
65	23189	679532
66	23522	678634
67	23870	678202
68	24215	677688
69	24551	676907
70	24885	676110
71	25214	675178
72	25557	674660
73	25919	674620
74	26287	674713
75	26643	674490
76	27017	674733
77	27358	674147
78	27697	673500
79	28077	673853
80	28417	673242
81	28746	672395
82	29085	671773
83	29423	671128
84	29763	670544
85	30101	669934
86	30455	669673
87	30797	669151
88	31123	668270
89	31454	667534
90	31799	667095
91	32126	666283
92	32488	666186
93	32842	665926
94	33226	666283
95	33565	665721
96	33896	664998
97	34221	664169
98	34565	663733
99	34908	663268
100	35253	662839
101	35587	662207
102	35907	661323
103	36251	660893
104	36591	660382
105	36911	659523
106	37255	659101
107	37590	658532
108	37934	658109
109	38360	659109
110	38691	658456
111	39026	657867
112	39375	657541
113	39714	657025
114	40038	656289
115	40444	656868
116	40790	656483
117	41134	656056
118	41480	655668
119	41796	654807
120	42111	653941
121	42443	653355
122	42797	653097
123	43136	652612
124	43486	652303
125	43833	651933
126	44178	651546
127	44502	650855
128	44837	650312
129	45179	649893
130	45514	649356
131	45830	648566
132	46168	648088
133	46496	647481
134	46841	647102
135	47187	646752
136	47507	646037
137	47851	645643
138	48192	645228
139	48536	644841
140	48930	645125
141	49273	644725
142	49601	644119
143	49954	643858
144	50309	643618
145	50659	643304
146	51021	643146
147	51354	642625
148	51704	642311
149	52047	641920
150	52393	641562
151	52717	640934
152	53080	640787
153	53450	640712
154	53803	640437
155	54146	640042
156	54488	639631
157	54820	639105
158	55211	639277
159	55574	639102
160	55951	639100
161	56318	638967
162	56681	638800
163	57022	638369
164	57342	637722
165	57706	637556
166	58051	637175
167	58382	636648
168	58717	636168
169	59054	635706
170	59390	635239
171	59732	634828
172	60054	634215
173	60394	633791
174	60766	633710
175	61118	633412
176	61457	632978
177	61791	632490
178	62148	632247
179	62472	631670
180	62800	631127
181	63143	630742
182	63489	630380
183	63831	629985
184	64193	629791
185	64547	629514
186	64872	628955
187	65218	628594
188	65556	628162
189	65908	627866
190	66237	627347
191	66589	627054
192	66911	626469
193	67250	626051
194	67598	625717
195	67960	625516
196	68291	625019
197	68633	624634
198	68945	623978
199	69288	623597
200	69658	623459
201	69999	623063
202	70340	622665
203	70657	622062
204	71036	622001
205	71388	621706
206	71728	621299
207	72075	620953
208	72453	620880
209	72802	620554
210	73138	620115
211	73458	619550
212	73794	619108
213	74122	618609
214	74453	618140
215	74829	618032
216	75155	617520
217	75489	617077
218	75822	616621
219	76167	616262
220	76505	615855
221	76884	615770
222	77235	615456
223	77567	615002
224	77906	614599
225	78240	614153
226	78591	613844
227	78917	613340
228	79254	612924
229	79594	612534
230	79995	612605
231	80335	612211
232	80654	611659
233	81007	611367
234	81343	610941
235	81692	610614
236	82032	610227
237	82377	609871
238	82707	609406
239	83044	608994
240	83375	608536
241	83750	608399
242	84089	608005
243	84421	607559
244	84812	607531
245	85162	607214
246	85484	606694
247	85837	606399
248	86204	606198
249	86597	606180
250	86959	605943
251	87321	605703
252	87675	605413
253	87992	604863
254	88328	604442
255	88683	604155
256	89026	603788
257	89380	603493
258	89713	603055
259	90055	602675
260	90414	602414
261	90774	602159
262	91112	601760
263	91467	601467
264	91823	601186
265	92166	600812
266	92527	600564
267	92866	600170
268	93225	599898
269	93545	599382
270	93867	598881
271	94173	598280
272	94504	597836
273	94846	597465
274	95193	597125
275	95565	596937
276	95910	596585
277	96256	596233
278	96615	595969
279	96958	595599
280	97298	595218
281	97666	595002
282	97999	594578
283	98323	594096
284	98657	593676
285	98982	593200
286	99317	592790
287	99659	592419
288	99999	592038
289	100350	591723
290	100694	591363
291	101033	590976
292	101416	590849
293	101755	590458
294	102094	590073
295	102430	589665
296	102769	589281
297	103120	588965
298	103442	588481
299	103772	588045
300	104124	587732
301	104470	587387
302	104803	586967
303	105123	586479
304	105457	586065
305	105805	585732
306	106149	585375
307	106485	584977
308	106818	584565
309	107160	584196
310	107501	583827
311	107831	583397
312	108180	583066
313	108521	582696
314	108832	582165
315	109179	581830
316	109505	581381
317	109842	580992
318	110168	580544
319	110508	580167
320	110876	579943
